slug,aroma,acid_or_milk,body,flavor,type_with_milk,clean_text,roast_dark,roast_light,roast_medium,roast_medium_dark,roast_medium_light,roast_very_dark,roast_nan,region_africa_arabia,region_caribbean,region_central_america,region_hawaii,region_asia_pacific,region_south_america,type_espresso,type_organic,type_fair_trade,type_decaffeinated,type_pod_capsule,type_blend,type_estate,type_with_milk
ethiopia-deri-kochoha-2,9.0,8.0,9.0,9.0,0,bright crisp sweetli tart citru medley cacao nib pink peppercorn dogwood almond aroma sweet tart structur live acid crisp satini mouthfeel short finish intens note citru pink peppercorn long soften almond tone floral pois melod wet process ethiopia coffe center complex citru note support sweet spice cocoa,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
espresso-14,8.0,9.0,8.0,8.0,1,evalu espresso deepli rich sweetli roast round dark chocol gentli scorch cedar magnolia black cherri almond aroma small full satini mouthfeel crisp reson finish center around dark chocol black cherri note underscor cedar like aromat wood part milk chocol bloom note black cherri magnolia resurfac rich reson espresso thailand especi attract cappuccino scale milk,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1
kenya-ruthaka-peaberry,9.0,8.0,9.0,10.0,0,deepli sweet richli savori dark chocol pistachio red currant jam honeysuckl hint marjoram aroma balanc sweetli savori structur eleg lilt acid lush syrupi mouthfeel reson finish consolid note dark chocol red currant underton crisp marjoram high tone nuanc kenya classic present sweet tart currant deep chocol note,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ethiopia-gora-kone-sidamo,9.0,8.0,9.0,9.0,0,fruit forward richli chocolati raspberri couli chocol fudg brandi cedar mace aroma sweet tart structur gentl round acid full creami mouthfeel fruit tone finish think berri envelop chocol hint mace long play unrestrain fruit bomb coffe rich berri fudgi chocol note throughout,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
specialty-coffee-blend-espresso,9.0,9.0,8.0,9.0,1,evalu espresso rich chocolati sweetli tart dark chocol peach szechuan peppercorn orang zest myrrh aroma small smooth satini mouthfeel reson chocolati finish part milk note szechuan peppercorn dark chocol harmon sweetli undercurr peach myrrh espresso blend spice note particular pepperi element reminisc sweet szechuan peppercorn figur promin harmoni balanc rich sweet coffe straight shot milk,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
honduras-las-flores-parainema,9.0,8.0,9.0,9.0,0,spice tone complex richli bittersweet blackberri dark chocol blood orang zest ginger blossom oak aroma bittersweet structur bright high tone acid plush syrupi mouthfeel reson finish redol note cocoa tone blackberri spici ginger blossom subtli strikingli origin hondura coffe deep complex sweetli spice tone,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
kivu-dr-congo,9.0,8.0,9.0,9.0,0,high tone balanc crispli sweet apricot tangerin zest dark chocol honey rhododendron aroma sweet tart structur juici bright acid buoyant syrupi mouthfeel rich finish center around note dark chocol tangerin zest vanilla tone floral richli sweet elegantli compos bourbon democrat republ congo multi layer deepli engag,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
santa-luzia-brazil,9.0,8.0,9.0,9.0,0,delic fruit tone dri strawberri brandi dark chocol cedar pink peppercorn aroma sweet tone structur gentl round acid lightli syrupi mouthfeel sweetli fermenti finish note berri liqueur pink peppercorn quiet integr fruit forward coffe brazil lead note brandi tone strawberri chocol,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
porfirio-castellanos-honduras,9.0,8.0,8.0,9.0,0,crispli sweet savori toffe black cherri rosewood walnut violet like flower aroma richli bittersweet structur juici acid satini smooth mouthfeel crisp finish consolid note black cherri walnut rich savori lean paca tremend depth aroma flavor,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ethiopia-yirgacheffe-awassa,9.0,8.0,8.0,9.0,0,bright crispli sweet chocolati lemon blossom nougat roast cacao nib pomegran violet aroma balanc sweetli tart structur juici bright acid satini smooth mouthfeel reson finish center around cocoa lightli express citru note high tone juici yirgacheff classic balanc bright fruit sweet floral cocoa tone,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
