slug,name,roaster,rating,review_date
ethiopia-deri-kochoha-2,Ethiopia Deri Kochoha,Flight Coffee Co.,93,2019-01-01
espresso-14,Espresso,Doi Chaang Coffee,91,2019-01-01
kenya-ruthaka-peaberry,Kenya Ruthaka Peaberry,Temple Coffee and Tea,95,2019-01-01
ethiopia-gora-kone-sidamo,Ethiopia Gora Kone Sidamo,Temple Coffee and Tea,93,2019-01-01
specialty-coffee-blend-espresso,Specialty Coffee Blend Espresso,Choosy Gourmet,93,2019-01-01
honduras-las-flores-parainema,Honduras Las Flores Parainema,Café Grumpy,94,2019-01-01
kivu-dr-congo,Kivu DR Congo,JBC Coffee Roasters,94,2019-01-01
santa-luzia-brazil,Santa Luzia Brazil,Coava Coffee Roasters,93,2019-01-01
porfirio-castellanos-honduras,Porfirio Castellanos Honduras,Coava Coffee Roasters,93,2019-01-01
ethiopia-yirgacheffe-awassa,Ethiopia Yirgacheffe Awassa,Paradise Roasters,93,2019-01-01
panama-ninety-plus-perci-lot-50,Panama Ninety Plus Perci Lot 50,Bird Rock Coffee Roasters,97,2019-01-01
colombia-sidra,Colombia Sidra,Kaffetre,94,2018-12-01
colombia-geisha-2,Colombia Geisha,Paradise Roasters,94,2018-12-01
select-reserve-guatemala-el-aceituno-el-bonito-microlot,Select Reserve Guatemala El Aceituno “El Bonito” Microlot,Red Rock Roasters,91,2018-12-01
foothills-series-hambela-ethiopia,Foothills Series Hambela Ethiopia,Vienna Coffee Company,91,2018-12-01
ethiopia-gugi,Ethiopia Gugi,Topeca Coffee Roasters,93,2018-12-01
kenya-murunga-new-gatanga-fcs-mukurwe-factory-ab,Kenya Murunga New Gatanga FCS Mukurwe Factory AB,Small Eyes Cafe,94,2018-12-01
brazil-recreio-selectivo,Brazil Recreio Selectivo,Topeca Coffee Roasters,92,2018-12-01
ethiopia-worka-2,Ethiopia WORKA,Red Rooster Coffee Roaster,94,2018-12-01
guatemala-hunapu,Guatemala Hunapu,Temple Coffee and Tea,93,2018-12-01
